Date(UTC),AreaDisplayName,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2022-05-13,France (FR),189.0,174.74,176.26,203.2,226.93,242.74,242.29,225.1,207.46,201.1,195.18,190.58,187.46,165.5,166.0,164.99,195.18,221.47,231.09,229.0,223.95,221.95,202.93,182.69
2022-05-14,France (FR),185.04,196.48,166.88,177.71,184.07,194.3,184.94,160.0,146.88,160.77,159.83,142.07,138.5,136.59,147.92,162.02,206.38,225.0,240.04,241.87,239.0,224.15,214.91,196.35
2022-05-15,France (FR),185.43,174.15,170.17,170.25,162.92,158.57,154.98,110.6,95.98,90.0,75.0,45.35,20.15,39.58,76.21,133.33,188.39,214.34,222.48,226.18,219.57,200.5,180.18,169.06
2022-05-16,France (FR),169.13,169.89,169.53,182.04,229.95,248.08,251.09,231.08,210.62,199.68,185.34,182.33,224.84,225.92,234.97,238.64,245.74,298.68,276.95,259.9,240.2,229.74,203.39,195.94
2022-05-17,France (FR),189.1,185.05,189.2,202.24,236.7,264.89,274.17,247.06,231.99,225.36,213.84,203.32,216.55,200.01,213.5,237.78,251.82,290.0,298.21,265.88,245.46,233.95,206.47,187.89
2022-05-18,France (FR),176.23,170.98,173.1,179.61,219.95,247.6,241.29,222.07,223.45,221.32,187.09,177.03,210.4,185.55,198.72,216.84,241.2,286.99,280.0,245.88,225.73,194.47,196.96,185.01
2022-05-19,France (FR),179.94,176.27,177.98,185.06,222.33,250.04,249.31,229.93,198.22,227.83,182.96,180.8,206.05,185.09,198.96,224.02,232.99,269.27,273.4,253.0,234.38,213.31,211.1,195.98
2022-05-20,France (FR),189.56,188.0,189.56,208.62,226.51,263.32,250.0,224.0,204.97,201.6,197.4,190.07,185.33,189.26,190.0,190.0,214.92,226.85,226.87,218.03,205.27,190.17,174.48,169.27
2022-05-21,France (FR),169.26,163.29,160.6,164.94,161.08,164.85,166.54,172.97,178.82,174.89,170.57,167.45,164.67,161.55,159.33,164.84,171.58,201.0,219.32,228.11,223.85,214.18,186.58,179.4
2022-05-22,France (FR),172.5,170.0,171.0,169.91,166.96,166.88,160.0,149.96,138.29,138.25,140.69,109.92,101.4,103.7,133.19,156.62,195.29,213.37,225.55,227.9,219.91,191.24,175.89,164.57
2022-05-23,France (FR),158.75,155.07,158.2,172.54,202.7,224.96,230.02,220.97,217.19,202.68,188.88,187.91,177.0,177.68,177.07,201.58,214.03,214.94,210.07,190.0,182.06,180.18,173.0,165.76
2022-05-24,France (FR),154.45,144.88,137.04,155.95,188.91,210.29,212.0,193.0,180.18,169.47,201.33,188.25,175.4,160.94,162.47,169.72,198.38,212.98,219.99,220.3,211.91,189.64,190.73,180.06
2022-05-25,France (FR),170.51,167.92,169.9,178.14,211.11,230.0,237.03,235.44,197.38,201.1,182.9,182.81,191.08,162.31,164.75,168.25,166.32,185.0,208.46,214.0,204.61,187.4,164.3,171.5
2022-05-26,France (FR),160.01,131.07,145.32,149.28,141.53,147.3,189.88,163.44,162.48,163.06,163.79,155.0,154.99,152.5,154.38,161.07,162.08,194.85,199.8,180.09,207.16,209.55,175.01,150.2
2022-05-27,France (FR),146.49,106.85,146.04,147.54,160.05,155.72,195.94,185.28,166.1,168.92,164.23,163.29,159.33,150.0,147.54,146.54,147.54,168.5,186.01,178.99,203.29,189.0,169.11,151.53
2022-05-28,France (FR),158.68,148.5,151.0,153.75,150.67,155.12,155.04,152.67,144.56,145.01,148.5,144.0,141.7,138.46,110.8,126.62,143.5,161.65,161.3,164.37,176.86,174.52,179.13,159.96
2022-05-29,France (FR),154.3,146.81,140.04,141.32,135.75,138.37,140.15,140.08,140.0,145.06,141.0,133.49,123.78,121.59,120.0,150.0,179.56,201.38,214.94,224.97,225.0,214.96,203.9,194.72
2022-05-30,France (FR),192.65,184.5,182.92,195.74,230.68,257.95,260.27,232.92,230.0,229.77,215.0,207.5,201.28,202.29,210.9,225.7,241.36,291.14,295.0,266.46,243.68,227.5,200.91,183.0
2022-05-31,France (FR),179.62,177.02,180.01,195.99,228.68,247.77,243.14,225.9,210.12,206.11,193.09,184.07,190.14,182.08,182.38,200.0,234.97,249.8,254.67,247.51,240.01,227.98,220.0,207.45
2022-06-01,France (FR),199.09,182.53,182.28,198.95,230.0,249.68,246.36,228.82,211.8,206.6,202.37,199.66,194.82,180.04,181.6,199.71,229.92,251.98,257.71,262.6,250.0,230.33,191.0,175.04
2022-06-02,France (FR),169.33,161.96,165.05,171.7,209.65,223.1,218.13,193.25,180.18,179.94,179.93,174.91,169.43,171.85,176.23,181.06,217.65,230.65,238.97,228.94,222.22,213.56,177.61,163.13
2022-06-03,France (FR),157.41,159.62,161.7,169.94,209.83,225.11,238.02,230.0,220.0,217.8,192.52,180.19,172.5,172.44,176.0,196.77,207.53,211.19,221.83,229.96,240.0,237.91,175.81,167.97
2022-06-04,France (FR),166.92,157.05,155.5,156.01,159.8,169.86,180.0,178.5,165.96,168.68,182.33,168.03,170.0,158.2,155.6,160.9,177.4,197.71,209.24,198.98,199.06,196.7,172.05,174.7
2022-06-05,France (FR),171.31,141.79,164.07,128.7,127.27,133.65,136.28,142.65,141.36,143.62,166.0,162.22,126.71,121.95,132.03,150.02,163.03,168.8,169.44,166.36,169.22,214.32,167.98,154.19
2022-06-06,France (FR),142.08,89.33,85.05,88.08,90.06,122.52,84.05,147.01,149.53,145.09,175.09,150.09,175.75,171.25,169.0,168.05,169.55,200.0,214.97,214.04,217.42,189.7,177.33,158.69
2022-06-07,France (FR),150.61,145.72,146.88,155.45,175.7,216.93,220.12,210.99,196.95,196.65,195.96,185.0,173.8,164.99,164.07,173.1,200.0,218.04,227.46,228.81,220.26,210.97,185.05,168.95
2022-06-08,France (FR),165.1,162.96,164.92,175.0,197.42,213.93,215.01,205.29,191.0,191.1,181.26,177.51,191.62,194.53,191.72,187.48,198.25,211.5,212.36,211.98,211.0,198.89,189.01,170.63
2022-06-09,France (FR),165.0,162.72,159.16,161.63,196.6,215.41,215.71,205.77,207.24,203.8,183.18,174.0,161.93,158.5,155.9,170.09,180.21,195.72,200.97,210.24,209.09,192.07,196.58,176.7
2022-06-10,France (FR),169.4,168.92,163.84,179.14,207.91,213.76,212.84,200.0,185.85,192.0,196.48,190.92,182.03,171.8,171.8,196.33,205.0,217.97,220.46,216.9,215.48,205.07,207.5,202.43
2022-06-11,France (FR),195.3,167.03,167.45,168.03,161.37,191.77,184.83,172.25,177.55,180.0,168.48,165.16,164.22,159.0,166.0,180.8,173.47,196.39,210.05,211.06,207.92,199.0,195.0,184.24
2022-06-12,France (FR),175.01,167.0,167.0,169.82,167.87,138.53,134.71,80.83,74.37,101.83,145.44,119.67,95.8,60.63,65.34,146.5,161.0,185.31,205.98,210.98,210.0,204.2,186.84,177.47
2022-06-13,France (FR),158.45,149.92,146.92,169.27,200.03,210.98,219.0,209.41,204.75,203.7,203.76,204.02,206.47,206.47,206.67,200.23,231.05,250.0,238.15,238.4,236.12,223.13,202.45,168.86
2022-06-14,France (FR),179.29,161.43,172.16,171.73,215.22,227.88,229.51,222.47,216.97,207.88,201.45,201.32,209.09,201.45,204.23,213.34,230.97,266.26,272.84,243.67,234.9,219.25,197.96,183.5
2022-06-15,France (FR),177.67,173.02,173.18,182.23,219.12,246.95,255.17,262.68,245.62,250.0,228.82,229.74,242.78,235.35,236.75,233.79,264.66,304.56,307.48,258.25,249.55,239.3,256.07,244.72
2022-06-16,France (FR),225.22,219.02,206.46,213.74,247.0,259.78,306.49,300.0,260.39,268.47,258.7,258.38,262.82,291.84,280.0,311.0,325.0,345.0,330.0,311.38,285.0,282.0,302.42,283.96
2022-06-17,France (FR),262.84,211.64,206.86,239.91,292.34,323.31,325.7,299.07,307.85,316.72,321.71,309.91,311.94,297.51,285.75,303.07,339.73,368.06,360.0,323.96,360.0,330.73,330.0,312.78
2022-06-18,France (FR),304.94,269.47,269.46,270.85,269.24,285.81,279.25,269.55,277.51,269.99,268.44,244.0,228.64,237.65,264.84,286.99,264.61,328.01,330.47,319.21,285.08,256.91,207.07,190.0
2022-06-19,France (FR),165.52,139.8,120.6,112.7,112.7,119.31,107.18,95.5,94.15,112.47,133.73,104.31,105.92,109.49,107.45,160.37,240.42,265.87,283.41,294.29,306.93,281.1,240.22,220.39
2022-06-20,France (FR),218.9,220.1,213.2,263.27,301.67,366.31,429.19,331.24,329.91,338.73,325.0,308.5,341.19,319.71,317.1,305.15,314.44,333.99,324.61,319.27,311.19,301.6,279.3,264.7
2022-06-21,France (FR),239.49,228.1,223.11,233.35,297.61,338.9,368.04,388.0,390.0,373.21,398.62,396.0,418.75,418.63,409.92,412.76,400.0,450.0,457.82,410.0,373.0,327.34,300.0,290.01
2022-06-22,France (FR),275.6,251.38,255.02,283.44,330.53,426.78,467.5,447.92,437.42,454.97,406.78,403.52,440.08,421.15,410.64,405.81,412.02,450.1,441.5,399.3,390.0,394.0,297.07,288.7
2022-06-23,France (FR),278.47,245.82,255.08,279.68,336.1,371.13,380.57,382.91,363.95,374.97,363.96,375.32,376.08,357.87,351.91,375.67,383.55,430.0,413.99,373.22,405.52,400.0,315.5,300.42
2022-06-24,France (FR),271.2,241.81,250.95,257.41,303.21,335.39,346.32,345.08,338.9,323.46,321.83,311.65,292.08,250.73,251.33,296.41,322.0,329.94,335.2,330.92,320.0,270.6,262.27,237.4
2022-06-25,France (FR),214.91,217.08,203.88,209.06,226.73,261.09,269.03,241.81,251.74,236.01,239.56,241.09,257.07,255.35,254.71,269.07,271.57,314.1,327.17,322.68,324.02,294.94,288.91,261.33
2022-06-26,France (FR),232.25,209.85,199.2,182.63,176.47,189.92,204.17,242.2,235.64,242.89,266.5,233.68,223.57,197.33,197.22,247.43,296.14,325.03,334.48,337.63,336.82,316.27,296.25,268.15
2022-06-27,France (FR),272.27,260.27,258.92,270.16,330.89,357.94,371.07,348.38,332.54,333.99,343.73,344.57,355.0,347.51,337.4,337.64,363.02,398.59,391.18,375.64,372.17,354.81,317.05,301.3
2022-06-28,France (FR),298.46,261.0,269.93,282.41,348.95,379.91,388.74,371.2,355.4,375.02,416.06,420.9,408.7,363.32,361.68,367.03,410.89,470.9,453.14,410.92,396.38,364.38,322.23,302.5
2022-06-29,France (FR),285.34,278.82,278.54,280.52,315.73,350.85,367.11,358.76,349.06,355.2,331.96,322.3,325.0,332.98,333.43,352.91,369.95,390.9,390.0,366.9,353.74,331.04,325.0,311.32
2022-06-30,France (FR),298.03,283.14,271.79,285.28,339.77,369.89,379.63,365.73,356.3,358.64,358.19,405.0,415.38,375.1,366.35,372.44,409.41,479.0,450.0,394.21,367.95,351.96,354.99,311.96
2022-07-01,France (FR),306.24,266.32,265.65,282.13,355.19,378.85,385.19,378.0,399.31,379.68,363.78,352.78,353.28,313.79,291.77,298.76,322.06,348.08,361.26,401.65,385.0,380.0,285.72,255.0
2022-07-02,France (FR),237.2,230.71,222.31,214.2,233.84,244.56,232.39,264.64,274.0,240.38,273.27,235.29,253.15,213.71,210.59,240.43,285.03,350.0,362.85,359.96,353.44,302.17,270.08,244.9
2022-07-03,France (FR),199.08,195.6,185.6,182.71,176.71,192.31,185.07,170.26,128.2,146.77,205.66,127.25,122.94,142.23,123.8,212.21,272.77,327.0,340.1,348.43,348.45,333.06,319.65,277.83
2022-07-04,France (FR),265.04,254.35,258.08,302.44,361.88,376.0,385.17,366.0,370.52,388.11,401.9,406.58,431.8,461.74,391.31,434.0,406.88,413.76,406.71,389.4,398.1,399.7,359.96,319.62
2022-07-05,France (FR),309.73,301.7,300.16,324.82,380.47,412.59,429.91,450.0,433.02,394.52,388.85,385.06,386.2,381.71,364.89,337.67,362.65,390.62,389.6,370.84,381.78,362.08,351.39,314.2
2022-07-06,France (FR),309.33,280.29,299.42,322.79,389.83,413.89,421.5,409.52,394.26,431.72,423.08,422.58,435.41,438.85,386.9,391.18,404.02,414.41,419.09,393.81,433.59,427.42,430.16,378.09
2022-07-07,France (FR),371.59,302.81,293.93,303.08,350.8,396.45,424.03,414.81,396.87,396.74,391.54,390.0,394.89,376.12,330.38,358.43,418.94,413.65,403.61,406.18,414.0,405.91,408.79,363.55
2022-07-08,France (FR),363.75,321.44,298.82,341.75,412.36,480.0,458.52,464.81,431.44,430.06,417.64,416.76,435.42,393.22,379.93,365.9,440.96,458.39,461.38,441.77,446.86,429.19,350.0,300.55
2022-07-09,France (FR),375.76,361.51,340.5,353.05,254.13,306.96,259.17,381.69,347.96,316.8,352.9,312.1,300.0,302.88,311.62,355.98,282.38,373.7,358.86,322.1,392.71,376.85,299.89,251.07
2022-07-10,France (FR),254.1,176.5,176.47,162.06,172.95,185.49,154.73,151.82,159.17,166.61,176.67,148.92,130.96,136.99,151.58,192.8,305.65,322.13,369.9,378.07,390.45,371.26,320.08,277.98
2022-07-11,France (FR),275.74,269.06,271.92,298.0,395.95,415.08,433.97,416.32,404.95,396.9,401.04,375.05,393.23,402.02,373.58,417.69,430.69,458.03,469.9,452.12,450.05,419.15,395.49,349.57
2022-07-12,France (FR),330.04,331.5,334.34,362.1,419.64,453.66,448.9,456.54,456.54,434.48,456.54,463.0,430.87,429.2,459.3,423.57,485.5,513.59,509.0,480.0,500.0,454.85,416.05,365.61
2022-07-13,France (FR),351.15,355.79,325.04,332.22,411.97,435.0,466.67,495.0,490.0,495.0,445.38,447.7,495.0,476.92,489.0,485.72,529.0,508.39,486.55,480.06,481.78,461.92,425.91,378.06
2022-07-14,France (FR),345.47,334.1,335.01,371.63,421.32,433.31,434.07,419.94,379.9,389.71,422.4,385.88,332.6,288.67,297.56,356.42,403.64,425.14,438.43,436.13,426.03,400.04,350.0,320.07
2022-07-15,France (FR),308.18,305.01,307.55,330.0,404.9,429.92,418.8,425.05,433.21,433.21,428.48,428.48,444.45,433.55,379.05,391.55,410.0,425.05,433.17,434.03,432.89,433.21,384.91,349.96
2022-07-16,France (FR),336.48,353.67,331.32,312.28,332.98,333.37,300.78,312.78,282.74,314.5,336.82,277.8,274.39,261.1,270.11,215.9,349.84,378.91,341.56,345.59,357.55,331.77,290.06,240.8
2022-07-17,France (FR),198.77,190.63,191.51,195.28,201.72,191.9,189.51,179.62,147.72,145.08,150.3,115.69,109.89,100.71,132.35,219.89,344.42,444.99,456.91,434.95,464.99,419.45,389.77,328.49
2022-07-18,France (FR),299.23,282.44,286.03,306.53,392.99,424.94,481.09,449.71,506.3,544.6,560.1,550.0,570.0,625.42,541.7,550.0,606.13,686.53,681.99,600.0,530.13,469.86,402.46,368.99
2022-07-19,France (FR),341.09,325.24,318.72,350.98,440.0,488.94,543.57,544.02,552.67,600.03,570.0,570.0,615.51,600.0,554.89,602.41,650.0,650.0,650.0,578.1,576.29,617.18,409.99,385.67
2022-07-20,France (FR),383.39,370.13,314.99,376.18,434.99,550.0,809.11,820.87,730.02,710.0,708.91,704.6,704.6,662.92,644.39,614.15,631.14,651.0,650.0,634.34,620.0,620.0,484.89,406.69
2022-07-21,France (FR),385.07,345.07,350.66,367.74,448.76,546.94,598.04,689.0,590.6,510.21,590.24,518.39,583.97,693.86,693.34,619.87,617.43,651.0,650.0,630.74,650.0,706.1,429.99,371.12
2022-07-22,France (FR),356.16,337.33,331.01,356.16,415.31,484.04,504.81,506.37,409.82,398.39,448.67,652.0,720.52,653.23,552.06,554.8,504.28,602.2,587.5,636.51,550.0,494.5,392.9,344.67
2022-07-23,France (FR),351.99,337.01,332.04,331.27,337.03,333.12,343.78,352.52,347.64,333.9,373.18,304.37,245.14,244.3,274.16,317.38,357.21,381.26,435.43,415.58,432.19,441.61,393.26,379.24
2022-07-24,France (FR),355.06,331.0,316.18,302.82,272.76,260.93,225.08,269.07,275.51,245.99,330.08,295.88,245.96,258.67,271.96,282.96,372.94,432.82,508.13,484.18,490.96,417.71,346.4,276.76
2022-07-25,France (FR),287.83,266.03,261.71,286.29,375.08,410.14,414.29,390.07,399.68,412.58,377.55,414.52,382.81,351.11,366.01,375.47,424.38,432.3,430.74,424.62,430.77,415.94,401.9,371.02
2022-07-26,France (FR),368.6,364.07,345.27,371.02,430.01,555.0,650.0,650.0,604.06,650.0,650.0,482.64,651.0,650.0,512.29,511.63,650.0,651.0,614.73,546.18,527.29,566.36,442.42,411.02
2022-07-27,France (FR),403.87,381.12,378.13,405.61,460.0,503.41,633.7,613.53,600.03,643.02,528.52,500.0,538.54,520.07,498.47,534.43,650.0,670.15,650.0,645.0,599.28,500.47,437.79,400.91
2022-07-28,France (FR),399.97,399.08,399.97,400.04,501.17,555.0,587.17,611.13,532.73,518.53,575.21,585.12,554.57,551.98,522.71,559.8,650.0,650.0,650.0,625.49,592.51,571.51,486.07,431.78
2022-07-29,France (FR),400.51,388.51,374.83,416.46,463.16,516.92,533.53,545.3,530.23,565.44,567.92,529.73,553.26,490.13,524.53,508.11,528.27,577.49,508.71,514.37,525.73,506.8,425.0,404.3
2022-07-30,France (FR),405.0,395.85,377.06,383.98,406.78,423.02,412.72,392.77,365.58,333.56,357.96,339.55,317.43,308.35,331.35,412.37,427.28,455.07,469.3,466.69,479.81,449.93,382.79,339.88
2022-07-31,France (FR),300.1,293.05,271.3,268.92,261.03,264.8,300.01,286.37,261.1,255.76,263.08,219.08,208.74,226.08,252.07,316.01,394.79,449.55,452.95,466.34,483.93,450.5,385.06,344.06
2022-08-01,France (FR),338.81,320.86,329.72,380.0,429.66,467.91,474.9,470.52,456.95,451.47,439.3,434.91,448.64,457.3,457.3,480.3,504.0,592.03,592.0,582.0,544.14,532.84,440.98,390.1
2022-08-02,France (FR),382.1,359.89,352.69,393.03,457.04,479.9,478.9,464.16,446.55,446.55,441.99,427.67,457.46,449.62,436.25,482.52,575.4,650.0,650.0,615.97,558.53,481.96,487.65,434.94
2022-08-03,France (FR),427.98,326.3,329.96,390.77,455.07,495.16,559.58,502.1,486.34,497.13,499.08,502.9,504.63,500.51,543.17,581.8,650.0,650.0,650.0,640.0,570.03,518.44,450.3,414.26
2022-08-04,France (FR),375.07,348.49,345.3,375.07,452.27,480.1,501.76,516.94,499.5,502.52,519.58,524.34,524.34,519.48,456.03,522.7,552.83,536.73,508.63,533.68,546.85,570.0,409.31,358.18
2022-08-05,France (FR),337.64,339.17,338.52,390.05,449.91,468.0,483.91,470.13,437.01,443.86,469.99,382.66,470.11,402.42,328.95,393.23,385.0,430.2,429.67,437.43,429.91,386.55,361.76,315.05
2022-08-06,France (FR),308.59,276.45,267.76,275.5,290.83,315.03,309.56,274.03,256.57,221.58,222.78,165.98,153.25,155.08,195.17,246.43,319.79,373.64,397.44,381.35,369.08,324.98,277.89,232.85
2022-08-07,France (FR),218.28,206.4,200.47,205.23,205.0,206.29,162.27,142.7,100.0,87.69,86.82,79.01,76.57,86.4,102.8,199.42,301.67,393.3,421.99,419.92,401.86,359.42,310.08,271.57
2022-08-08,France (FR),272.22,278.32,272.8,310.38,363.41,410.0,414.68,384.55,339.44,318.11,311.55,304.09,308.07,310.3,329.86,406.02,439.82,495.9,493.77,455.0,429.15,391.2,330.76,298.92
2022-08-09,France (FR),298.95,289.2,295.75,320.01,382.92,414.98,426.22,383.99,310.09,282.84,296.27,277.1,284.29,273.31,290.39,351.7,419.39,469.8,469.72,428.67,406.45,343.31,297.01,286.98
2022-08-10,France (FR),298.71,285.6,283.33,294.79,316.93,378.0,395.51,356.26,302.9,294.64,284.62,279.44,273.81,285.01,303.1,353.0,409.93,449.0,454.73,420.0,406.84,355.01,309.92,300.03
2022-08-11,France (FR),310.0,306.3,312.0,347.06,399.15,419.97,414.9,397.16,355.1,356.06,321.78,315.67,317.67,328.65,341.26,401.31,450.0,539.9,534.75,446.0,414.99,390.0,422.1,405.0
2022-08-12,France (FR),395.68,391.95,402.53,407.99,469.14,513.31,508.0,472.56,419.9,426.98,428.02,380.57,379.99,387.64,400.85,449.07,489.99,560.0,565.4,507.78,469.47,424.02,427.23,400.71
2022-08-13,France (FR),387.87,374.09,375.79,382.76,379.9,388.74,399.9,374.5,338.2,328.56,343.2,349.38,339.72,334.16,347.7,412.3,466.2,503.26,504.7,479.94,461.91,425.89,416.3,397.2
2022-08-14,France (FR),377.9,354.0,350.06,351.01,352.77,350.05,355.17,339.94,309.0,319.0,325.15,292.99,276.93,262.1,318.46,352.07,415.9,454.91,459.96,462.6,455.42,431.57,375.03,361.09
2022-08-15,France (FR),360.64,350.0,352.99,363.58,361.43,412.98,456.41,452.8,431.41,407.06,402.31,392.13,392.77,380.09,400.05,448.84,495.0,520.01,555.72,536.69,507.0,475.42,465.26,430.65
2022-08-16,France (FR),430.94,386.38,396.67,440.99,490.0,512.31,514.9,497.3,472.02,465.26,462.28,470.31,475.97,477.29,455.49,506.91,600.05,664.89,662.05,648.38,580.0,513.28,523.94,483.88
2022-08-17,France (FR),472.13,449.22,438.95,469.89,528.22,596.01,616.33,575.1,549.97,526.89,535.38,524.2,522.14,520.16,541.6,593.3,676.04,747.93,681.0,629.09,552.03,514.99,523.92,479.9
2022-08-18,France (FR),480.0,461.66,458.45,472.08,550.0,598.9,614.5,613.59,587.69,572.64,583.08,539.78,535.0,535.36,538.22,561.07,604.25,650.0,645.37,600.06,556.54,524.93,510.09,467.63
2022-08-19,France (FR),450.1,429.24,439.39,469.62,521.93,571.14,581.2,550.31,528.04,517.42,501.72,490.84,474.3,455.51,490.86,517.42,545.56,568.99,569.4,550.0,530.58,504.93,512.09,500.05
2022-08-20,France (FR),480.09,460.04,452.61,452.15,471.69,475.03,484.93,480.02,464.5,443.19,451.75,389.09,371.08,345.47,387.34,402.56,475.06,529.91,541.88,539.97,506.78,500.15,430.27,381.0
2022-08-21,France (FR),374.94,344.27,323.0,324.07,365.99,348.35,332.0,317.26,254.52,301.71,344.37,255.22,245.0,255.22,325.66,455.0,530.0,592.0,644.92,619.5,613.4,579.09,504.25,477.42
2022-08-22,France (FR),467.5,447.59,450.02,497.08,561.53,599.9,610.0,595.59,583.46,567.5,627.81,564.33,567.62,577.2,586.67,613.55,640.0,722.79,679.97,636.52,588.86,545.0,550.0,504.73
2022-08-23,France (FR),507.0,500.57,503.32,531.02,627.95,668.21,680.0,640.1,614.01,593.34,577.87,568.42,558.17,574.77,604.43,648.15,713.65,794.95,771.0,708.83,644.0,599.99,581.8,550.0
2022-08-24,France (FR),550.19,535.98,539.01,574.18,648.0,683.25,694.26,649.92,679.59,661.62,612.12,611.58,621.25,616.22,631.09,672.33,750.0,850.0,783.56,724.78,659.37,612.79,553.56,522.92
2022-08-25,France (FR),520.07,513.06,518.6,530.07,606.14,667.71,689.59,641.77,610.55,618.09,653.15,611.58,664.03,630.59,645.35,686.8,714.23,766.79,760.0,710.0,673.4,626.73,607.15,580.07
2022-08-26,France (FR),572.53,571.04,569.21,598.99,750.0,769.23,802.99,781.62,763.2,750.03,721.56,714.81,701.18,686.87,714.2,750.07,770.0,780.65,778.61,770.0,747.74,700.0,685.14,644.2
2022-08-27,France (FR),636.8,587.9,563.47,573.1,580.9,636.0,682.59,685.95,660.75,643.46,630.04,592.0,548.66,530.19,531.09,588.34,694.66,722.04,713.32,668.78,659.94,583.57,585.03,491.4
2022-08-28,France (FR),467.7,430.0,425.97,409.92,427.29,441.91,467.45,437.62,404.07,440.64,478.02,375.7,405.3,419.14,431.93,372.2,585.9,685.65,702.95,648.2,606.7,590.03,590.85,544.14
2022-08-29,France (FR),523.3,521.6,516.62,585.98,707.08,769.92,796.82,847.68,722.55,785.47,800.0,765.4,810.7,809.3,792.96,817.61,851.81,871.0,860.89,800.0,762.49,753.09,617.49,595.07
2022-08-30,France (FR),585.01,584.96,571.94,612.55,758.51,778.06,791.31,766.0,753.98,757.54,776.33,737.0,770.02,790.27,805.11,786.68,807.2,859.45,870.0,1021.73,755.0,701.03,576.02,547.24
2022-08-31,France (FR),547.24,543.76,541.83,547.97,649.99,707.89,720.14,684.55,645.6,699.06,669.38,696.5,713.2,659.61,645.9,674.9,693.08,743.53,759.99,706.07,667.21,601.9,571.39,532.14
2022-09-01,France (FR),535.86,514.95,494.61,532.8,646.44,690.38,719.2,654.68,624.42,615.16,680.0,633.62,647.98,635.07,618.23,680.71,759.75,800.0,775.75,675.38,614.3,602.27,456.05,418.74
2022-09-02,France (FR),395.35,362.68,391.73,445.42,532.06,566.1,582.77,562.0,529.52,544.57,558.84,532.06,541.68,449.98,474.87,521.69,563.43,640.26,627.36,613.44,557.83,532.06,579.54,435.01
2022-09-03,France (FR),395.42,250.15,266.48,291.67,275.0,370.08,403.11,470.51,462.65,450.19,451.77,415.07,398.84,380.93,310.37,411.43,453.63,530.0,575.66,476.65,476.65,468.17,430.39,296.57
2022-09-04,France (FR),286.73,209.34,223.93,330.44,211.07,226.39,209.95,253.86,170.97,233.74,369.32,290.09,320.99,346.87,236.37,375.0,455.47,509.93,509.93,445.0,409.67,393.61,271.98,220.0
2022-09-05,France (FR),213.08,222.83,239.33,367.52,459.9,506.5,519.93,482.64,467.91,475.88,457.98,449.16,455.57,424.25,466.03,516.48,571.1,622.75,575.66,520.2,493.7,459.28,522.18,479.5
2022-09-06,France (FR),461.15,450.5,348.95,415.18,551.4,566.28,571.14,566.28,539.95,546.75,531.86,526.5,476.12,501.95,505.09,537.74,575.8,640.72,597.03,581.87,546.19,535.57,415.26,385.97
2022-09-07,France (FR),372.85,367.19,389.85,396.74,484.68,519.9,524.77,500.72,450.65,447.03,450.22,439.32,446.76,422.7,450.76,522.14,570.53,626.03,599.98,546.27,486.22,438.55,441.37,407.43
2022-09-08,France (FR),400.07,381.39,379.05,404.13,500.55,520.0,524.06,509.8,483.12,460.75,440.07,404.62,403.22,400.1,411.29,450.68,504.91,558.16,535.93,497.0,429.88,433.49,300.01,238.2
2022-09-09,France (FR),208.0,195.43,226.87,278.7,375.58,433.85,436.1,403.03,353.27,330.59,343.32,297.85,298.8,297.56,369.07,392.28,435.31,467.95,465.0,419.95,398.29,375.44,400.85,359.09
2022-09-10,France (FR),352.09,348.07,348.09,356.04,381.3,411.07,427.72,429.18,419.9,418.36,399.98,355.0,348.99,353.39,371.98,436.24,469.52,491.86,483.98,459.95,443.97,437.01,421.45,385.07
2022-09-11,France (FR),385.06,369.22,358.54,369.02,379.02,385.01,402.13,402.13,388.5,380.04,360.0,295.0,251.8,297.0,343.1,404.32,459.99,505.94,517.2,484.94,437.99,400.0,347.09,353.96
2022-09-12,France (FR),353.49,349.9,353.39,389.05,458.88,501.88,487.58,455.93,405.02,411.57,383.34,377.37,370.08,394.55,403.27,471.71,515.0,540.64,516.14,444.39,369.69,351.25,345.06,314.47
2022-09-13,France (FR),320.49,313.38,325.64,342.07,429.24,481.13,501.54,471.42,447.31,429.93,508.33,441.98,444.23,454.39,493.07,570.32,526.5,613.0,569.81,459.13,437.97,420.71,345.08,352.87
2022-09-14,France (FR),343.78,335.64,351.31,370.2,449.07,505.0,554.44,554.38,505.76,505.51,481.73,454.24,501.68,500.04,469.31,505.0,536.61,625.28,539.8,460.34,421.59,404.37,391.63,338.77
2022-09-15,France (FR),317.25,301.87,318.52,366.51,450.0,479.4,500.1,478.43,489.72,493.55,483.59,467.95,465.05,465.05,477.55,481.59,457.8,495.66,475.05,461.17,439.9,381.21,434.05,448.3
2022-09-16,France (FR),417.76,361.03,360.41,271.1,362.72,478.98,528.89,525.89,483.72,475.01,465.95,407.94,391.96,306.05,229.47,362.42,386.62,404.94,405.01,378.99,302.09,386.61,235.17,236.33
2022-09-17,France (FR),224.99,192.05,163.02,162.05,202.35,292.07,238.04,288.62,170.81,208.68,259.51,288.17,157.89,155.84,122.72,237.07,224.47,315.69,342.94,259.41,228.06,214.66,269.93,239.07
